Country_Region,Province_State,Confirmed,Recovered,Active,Deaths,Mortality,Date
Canada,Manitoba,39814,36142,2692,980,2.46,05-04-2021
Canada,New Brunswick,1958,1778,142,38,1.94,05-04-2021
Canada,Newfoundland and Labrador,1108,1042,60,6,0.54,05-04-2021
Canada,Northwest Territories,77,57,20,0,0.0,05-04-2021
Canada,Nova Scotia,3007,1878,1060,69,2.29,05-04-2021
Canada,Nunavut,535,446,85,4,0.75,05-04-2021
Canada,Ontario,484509,432109,44256,8144,1.68,05-04-2021
Canada,Prince Edward Island,183,176,7,0,0.0,05-04-2021
Canada,Quebec,353475,333624,8892,10959,3.1,05-04-2021
Canada,Saskatchewan,42145,39202,2444,499,1.18,05-04-2021
Canada,Yukon,82,79,1,2,2.44,05-04-2021
Canada,Alberta,200924,174666,24156,2102,1.05,05-05-2021
Canada,British Columbia,132925,124252,7079,1594,1.2,05-05-2021
Canada,Canada,1265757,1151213,90104,24440,1.93,05-05-2021
Canada,Manitoba,40079,36323,2774,982,2.45,05-05-2021
Canada,New Brunswick,1969,1784,146,39,1.98,05-05-2021
Canada,Newfoundland and Labrador,1114,1046,62,6,0.54,05-05-2021
Canada,Northwest Territories,91,57,34,0,0.0,05-05-2021
Canada,Nova Scotia,3182,1910,1203,69,2.17,05-05-2021
Canada,Nunavut,540,454,82,4,0.74,05-05-2021
Canada,Ontario,487917,436470,43270,8177,1.68,05-05-2021
Canada,Prince Edward Island,183,176,7,0,0.0,05-05-2021
Canada,Quebec,354390,334531,8895,10964,3.09,05-05-2021
Canada,Saskatchewan,42348,39452,2395,501,1.18,05-05-2021
Canada,Yukon,82,79,1,2,2.44,05-05-2021
Canada,Alberta,203135,176536,24497,2102,1.03,05-06-2021
Canada,British Columbia,133619,125025,6999,1595,1.19,05-06-2021
Canada,Canada,1273554,1159512,89563,24479,1.92,05-06-2021
Canada,Manitoba,40438,36724,2728,986,2.44,05-06-2021
Canada,New Brunswick,1980,1797,143,40,2.02,05-06-2021
Canada,Newfoundland and Labrador,1120,1052,62,6,0.54,05-06-2021
Canada,Northwest Territories,104,57,47,0,0.0,05-06-2021
Canada,Nova Scotia,3364,1986,1309,69,2.05,05-06-2021
Canada,Nunavut,552,462,86,4,0.72,05-06-2021
Canada,Ontario,491159,440467,42489,8203,1.67,05-06-2021
Canada,Prince Edward Island,185,176,9,0,0.0,05-06-2021
Canada,Quebec,355297,335421,8905,10971,3.09,05-06-2021
Canada,Saskatchewan,42506,39717,2288,501,1.18,05-06-2021
Canada,Yukon,82,79,1,2,2.44,05-06-2021
Canada,Alberta,205115,178149,24860,2106,1.03,05-07-2021
Canada,British Columbia,134341,125799,6940,1602,1.19,05-07-2021
Canada,Canada,1281241,1167428,89293,24520,1.91,05-07-2021
Canada,Manitoba,40937,36964,2986,987,2.41,05-07-2021
Canada,New Brunswick,1988,1807,141,40,2.01,05-07-2021
Canada,Newfoundland and Labrador,1127,1054,67,6,0.53,05-07-2021
Canada,Northwest Territories,105,57,48,0,0.0,05-07-2021
Canada,Nova Scotia,3591,2057,1464,70,1.95,05-07-2021
Canada,Nunavut,553,472,77,4,0.72,05-07-2021
Canada,Ontario,494184,444342,41615,8227,1.66,05-07-2021
Canada,Prince Edward Island,186,176,10,0,0.0,05-07-2021
Canada,Quebec,356216,336505,8737,10974,3.08,05-07-2021
Canada,Saskatchewan,42803,39954,2347,502,1.17,05-07-2021
Canada,Yukon,82,79,1,2,2.44,05-07-2021
Canada,Alberta,207157,179894,25155,2108,1.02,05-08-2021
Canada,British Columbia,134341,125799,6940,1602,1.19,05-08-2021
Canada,Canada,1287875,1174357,88969,24549,1.91,05-08-2021
Canada,Manitoba,41420,37198,3232,990,2.39,05-08-2021
Canada,New Brunswick,1996,1813,142,41,2.05,05-08-2021
Canada,Newfoundland and Labrador,1133,1056,71,6,0.53,05-08-2021
Canada,Northwest Territories,105,57,48,0,0.0,05-08-2021
Canada,Nova Scotia,3754,2145,1538,71,1.89,05-08-2021
Canada,Nunavut,560,482,74,4,0.71,05-08-2021
Canada,Ontario,496875,447938,40695,8242,1.66,05-08-2021
Canada,Prince Edward Island,186,176,10,0,0.0,05-08-2021
Canada,Quebec,357174,337538,8655,10981,3.07,05-08-2021
Canada,Saskatchewan,43079,40169,2408,502,1.17,05-08-2021
Canada,Yukon,82,79,1,2,2.44,05-08-2021
Canada,Alberta,208790,181483,25197,2110,1.01,05-09-2021
Canada,British Columbia,134341,125799,6940,1602,1.19,05-09-2021
Canada,Canada,1294254,1181257,88424,24573,1.9,05-09-2021
Canada,Manitoba,41949,37461,3495,993,2.37,05-09-2021
Canada,New Brunswick,2002,1819,142,41,2.05,05-09-2021
Canada,Newfoundland and Labrador,1138,1061,71,6,0.53,05-09-2021
Canada,Northwest Territories,105,57,48,0,0.0,05-09-2021
Canada,Nova Scotia,3917,2222,1624,71,1.81,05-09-2021
Canada,Nunavut,565,489,72,4,0.71,05-09-2021
Canada,Ontario,499776,451591,39930,8255,1.65,05-09-2021
Canada,Prince Edward Island,186,176,10,0,0.0,05-09-2021
Canada,Quebec,358134,338628,8519,10987,3.07,05-09-2021
Canada,Saskatchewan,43256,40379,2375,502,1.16,05-09-2021
Canada,Yukon,82,79,1,2,2.44,05-09-2021
Canada,Alberta,210387,182832,25438,2117,1.01,05-10-2021
Canada,British Columbia,136108,128149,6337,1622,1.19,05-10-2021
Canada,Canada,1301770,1189692,87423,24655,1.89,05-10-2021
Canada,Manitoba,42450,37683,3770,997,2.35,05-10-2021
Canada,New Brunswick,2013,1822,150,41,2.04,05-10-2021
Canada,Newfoundland and Labrador,1141,1064,71,6,0.53,05-10-2021
Canada,Northwest Territories,108,57,51,0,0.0,05-10-2021
Canada,Nova Scotia,4034,2312,1651,71,1.76,05-10-2021
Canada,Nunavut,572,498,70,4,0.7,05-10-2021
Canada,Ontario,502471,454701,39470,8300,1.65,05-10-2021
Canada,Prince Edward Island,187,176,11,0,0.0,05-10-2021
Canada,Quebec,358796,339660,8143,10993,3.06,05-10-2021
Canada,Saskatchewan,43408,40645,2261,502,1.16,05-10-2021
Canada,Yukon,82,80,0,2,2.44,05-10-2021
Canada,Alberta,211836,184719,24998,2119,1.0,05-11-2021
Canada,British Columbia,136623,128782,6217,1624,1.19,05-11-2021
Canada,Canada,1307151,1196825,85636,24690,1.89,05-11-2021
Canada,Manitoba,42779,37945,3837,997,2.33,05-11-2021
Canada,New Brunswick,2015,1837,137,41,2.03,05-11-2021
Canada,Newfoundland and Labrador,1156,1069,81,6,0.52,05-11-2021
Canada,Northwest Territories,108,57,51,0,0.0,05-11-2021
Canada,Nova Scotia,4152,2490,1591,71,1.71,05-11-2021
Canada,Nunavut,586,507,75,4,0.68,05-11-2021
Canada,Ontario,504558,457599,38640,8319,1.65,05-11-2021
Canada,Prince Edward Island,187,179,8,0,0.0,05-11-2021
Canada,Quebec,359456,340637,7818,11001,3.06,05-11-2021
Canada,Saskatchewan,43598,40911,2181,506,1.16,05-11-2021
